Title,F-no,Collection,Date,Lead white,Zinc white,Cobalt blue,Ultramarine blue,Prussian blue,Emerald green,Viridian,Yellow ochre/sienna,Chrome yellow,Chrome orange,Red lead,Vermilion,Red ochre,Eosin lake,Cochineal lake,Alizarin lake,Unidentified red lake,Bone black
Olive Trees,714,"National Galleries of Scotland, Edinburgh ",June 1889,o,o,o,,o?,,o,,o,o?,o?,o,,o,,,,
Olive Trees,715,"Nelson-Atkins Museum of Art, Kansas City",June 1889,o,o,o,o,o,o,o,,o,o,o?,o,,o (Al),,,,
Olive Trees,712,"The Museum of Modern Art, New York",June 1889,o,o,o,o,o,o,,o?,o,o?,,,,o (Al),,,,
Olive Grove,585,"Krîller-MÅller Museum, Otterlo",July 1889,o,o,o,o,o,o,o,o,o,o,,,,o,,,,o?
Olive Grove,709,"Van Gogh Museum, Amsterdam",late Sept. - early Oct. 1889,o,o,o,,o,o,o,o,o?,,o,o,o,,,,o (Al/Sn),
Olive Grove,711,Private collection,October 1889,,o,o,o,,o,o,,"o1,2",o?,o?,o,,,,,o (Al/Sn),
Olive Trees on a Hillside,716,"Van Gogh Museum, Amsterdam",October 1889,o?,o,,,,o,o,,o,,,,o,o,,,,
Olive Trees,710,"Minneapolis Institute of Art, Minneapolis",November 1889,o,o,o,o,o,o,o,o,o2,,o,,,,,,o (Al/Sn)  o (Al/Ca),o?
Olive Grove,707,"Van Gogh Museum, Amsterdam",November 1889 ,o,o,o,o,,o,o,,o,,o,,o,o,,,o (Al/Sn)  o (Al/Ca),
Olive Trees,708,"The Metropolitan Museum of Art, New York",November 1889,o,o,o,,,o,o,o,o1,,o,,o,o,o (Al/Ca/P),o (Al/Ca?),,
Olive Grove,586,"Gîteborgs Konstmuseum, G?teborg",November 1889,o,o,o,o?,o,o,o,o,o1,,o,o,o,,o (Al?/Sn),o,,o
Women Picking Olives,654,"Collection Basil P. and Elise Goulandris, Lausanne",Second half of Nov. 1889,o,o,o,o,o,o,o,o,o,,o,,o,o,o,o,o (Al/Sn)  o (Al/Ca?),
Olive Grove with Two Olive Pickers,587,"Krîller-MÅller Museum, Otterlo",December 1889,o,o,o,o,,o,o,o,o,o?,o,o,,,o (Al/Sn)  o (Al/Ca),,,
The Olive Orchard,656,"The National Gallery of Art, Washington ",December 1889,o,o,o,o,o,o,o,o?,o,o?,,o,o?,o,,,o (Al/Sn) o (Al) o (Ca)?#,
Women Picking Olives,655,"The Metropolitan Museum of Art, New York",December 1889,o,o,o,o,o,o,o,o,,,,o,,,o (Al/Sn)  o (Al/Ca),,,
